text,sentiment,original_text
demo demo bbm harga puluh ribu,0,Demo demo bbm kok harga10 rb
maju ricuh nih negara parah,0,"Makin maju apa makin ricuh nih Negara.. hahaha, parah lah"
tulin orang makan gaji pikir rakyat pikir lebokenmulu,0,Udah pd tulin bonge.apa lg banyak orang yg makan gajih bukan mikirin Rakyat mikirin lebokenmulu
ngeri bbm,0,Ngeri yah klo bbm naik
bola bal munggah bbm sembako roto pilih kasih alas,0,Bola bali munggah (bbm) Bagi 2 sembako yo gk roto /pilih kasih...Apa alasannya??
bbm turun demo,0,BBM sdh turun masa tetap demo??....
demo keras bbm istute pemda negeri curi tutup bai bbm lo tutup bbm,0,Demo lagi kekerasan di BBM dan istute pemda.luar negri curri.tutup Bai lah BBM.lo tutup aja BBM.
lantar siswa sekolah lantar siswa sekolah sma argumentasi informasi rapi,0,"Terlantar nya siswa,dan SMP ??🤔<br>Harus nya, terlantar nya Siswa SMP dan SMA <br>Argumentasi penyampaian informasi,Masih kurang Rapi 🙏"
dgn picu rusuh arah lawan politik ganti wni asing profesional politik sungguh politik busuk bahaya rumput gulma negara cabut akar rezim jokowi hukum berat khianat bangsa politik licik,0,Dgn memicu kericuhan akan mengarah pada berkurangnya lawan politik DAN AKAN DIganti dgn WNI asing yg pro politik. SUNGGUH POLITIK YG SANGAT BUSUK DAN BERBAHAYA dan rumput gulma negara harus dicabut hingga akarnya <br>REZIM JOKOWI HARUS DIHUKUM BERAT karna jadi penghianat bangsa dgn politik liciknya.
bbm rakyat derita bbm maksud negara rugi gaji negara turun amp koruptor berantas akar,0,Percuma klu BBM naik tapi membuat rakyat menderita.klu memang kenaikan BBM itu dg maksud agar negara tdk rugi itu gaji para pembesar2 negara diturunkan &amp; para koruptor diberantas sampai akar2nya
blt diam blt habis teriak situ rakyat gerak rakyat indonesia merdeka merdeka turun jajah kapitalisme budak ekonomi,0,"Ya kalau sdh dikasih BLT, jg pada diem. Nanti kalau BLT nya habis, baru pada teriak LG. Disitu waktu nya rakyat bergerak. Rakyat Indonesia sudah merdeka harus tetap merdeka. Turunkan penjajah kapitalisme dan perbudakan ekonomi."
orang orang tinggal perang gembira tinggal rasulullah suka jihad harta jiwa jalan allah quotjanganlah berangkat pergi perang panas terik api neraka jahannam panas at tawba,1,"Orang-orang yang ditinggalkan (tidak ikut perang) itu, merasa gembira dengan tinggalnya mereka di belakang Rasulullah, dan mereka tidak suka berjihad dengan harta dan jiwa mereka pada jalan Allah dan mereka berkata: &quot;Janganlah kamu berangkat (pergi berperang) dalam panas terik ini&quot;. Katakanlah: &quot;Api neraka jahannam itu lebih sangat panas(nya)&quot; jika mereka mengetahui. At Tawba 81"
enak presiden jokowi rakyat sejahtera periode cebong amp jongos,0,enak ya punya presiden jokowi rakyat sejahtera lanjut 10 periode permintaan dari cebong &amp; jongos
demo reda sesuai prediksi hahahahaha,0,DEMOnya sudah reda ya.. sesuai prediksi.. hahahahaha...
tangan kepal maju muka jaya pmii merdekamerdeka,1,Tangan terkepal dan maju kemuka. Jaya selalu wahai PMII. Merdeka.merdeka
mantap mahasiswa maju kasih ampun,1,mantp mahasiswa maju truuus jangan kasi ampun bapak2 itu
