text,sentiment,original_text
orang orang tinggal perang gembira tinggal rasulullah suka jihad harta jiwa jalan allah quotjanganlah berangkat pergi perang panas terik api neraka jahannam panas at tawba,1,"Orang-orang yang ditinggalkan (tidak ikut perang) itu, merasa gembira dengan tinggalnya mereka di belakang Rasulullah, dan mereka tidak suka berjihad dengan harta dan jiwa mereka pada jalan Allah dan mereka berkata: &quot;Janganlah kamu berangkat (pergi berperang) dalam panas terik ini&quot;. Katakanlah: &quot;Api neraka jahannam itu lebih sangat panas(nya)&quot; jika mereka mengetahui. At Tawba 81"
tangan kepal maju muka jaya pmii merdekamerdeka,1,Tangan terkepal dan maju kemuka. Jaya selalu wahai PMII. Merdeka.merdeka
mantap mahasiswa maju kasih ampun,1,mantp mahasiswa maju truuus jangan kasi ampun bapak2 itu
hidup mahasiswa hidup buruh juang,1,Hidup mahasiswa ✊ hidup buruh ✊.... lanjutkan perjuanganmu 💪
request bbm sampah daun plastik minimal,1,Request cara membuat bbm dari sampah daun atau plastik dong min 🙏.
negara demokrasi rusak fasilitas publik marah bbm tertib solusi amarah presiden jokowi kabinet profesional rakyat harga bbm otomatis bahan pokok miris negara kayak sumber minyak alam kosong bbm kota balikpapan kota minyaak,1,Kita negara demokrasi tp jgn merusak fasilitas publik semua pasti marah BBM naik .sampaikan dengan tertib tak ada solusi nya dengan amarah sampaikan dengan bpk presiden pak Jokowi bagaimana kabinet Anda tak pro rakyat harga BBM naik otomatis semua bahan pokok naik yg sangat miris negara kita kaya sumber minyak alam    knp jd kosong BBM .. KOTA BALIKPAPAN KOTA MINYAAK
demo sopir angkot,1,Demo para sopir angkot ya
lawan saudara masyarat oknum,1,"Lawan terus sodara, masih bnyk masyarat drpd oknum ny"
doa juang moga sukses hancurkannn,1,Doaku bersamamu yg berjuang semoga sukses hancurkannn
maaf cerita umur jaman presiden soeharto jaman jokowi jaman jokowi anggap tani orang tua tani zaman suharto murah keluarga beli makan mampusepeda motor murah bbm murah angkot jarang sepeda ontel kendara era jokowi mahal bbm mahal beli sepeda motor walapun kredit beli inti munafik umur nasihat anak anak beda kasihan anak anak khusus mahasiswa demo jilid jilid gunanyayg bela juang,1,"maaf sebelumnya bercerita sedikit, umur saya sekarang 46 tahun, Pada jamannya Presiden Soeharto sampai jamannya Jokowi , yg saya rasakan jamannya Jokowi lah saya anggap saya mampu, saya seorang petani orang tua saya pun dulu juga petani tapi di jaman Suharto apa2 murah tapi kita sekeluarga gk mampu beli kalau buat makan cukup tapi untuk lebih dari itu kami gk mampu.sepeda motor murah , BBM murah tapi tetap aja kami naik angkot, itupun jarang ada lewat, sepeda ontel lah yg bisa buat berkendara..sekarang Era Jokowi bisa di katakan Apa2 mahal BBM mahal tapi saya bisa Beli Sepeda motor punya lebih dari 1 walapun bisanya lewat cridit, tapi saya bisa punya, mampu juga beli, jadi intinya gk usah munafik, jadi kita yg sudah berumur 40 th ke atas berilah nasihat ke anak2 kita bahwa banyak perbedaan dulu dengan sekarang sekarng itu lebih baik daripada yg terdahulu, kasian anak2 khususnya mahasiswa Berdemo berjilid jilid buat apa gak ada gunanya,yg di bela siapa,, 😭 gk ada yg di perjuangkan apa tetap juga gak ada 😭"
kendara tenaga listrik,1,Sudah saatnya menggunskan kendaraan bertenaga listrik.
